Accession,ALL 19769 TA+ Norel,ALL 406 TA+ (ML) Norel,ALL 4466 Norel,ALL 1245 TA- Norel,ALL 16125 TA- Norel,ALL 23368 TA- Norel,ALL R28 (ML) Relap,ALL 1234 ML,ALL 1305 ML,ALL 1421 ML,ALL 1425 ML,ALL 1486 ML,ALL 1457 ML,ALL 1256 TA+ (ML) Norel,ALL 1275 TA+ (ML) Norel,ALL 1101 TA- (ML) Norel,ALL 1319 TA- (ML) Norel,ALL 522 TA- (ML) Norel,ALL SH 6,ALL SH 12,ALL SH 15,AML 15 (PK) Norel,AML 19 (PK) Norel,AML 10 (PK) Relap,AML 9 (PK) Relap,AML SH 5,AML SH 13,AML SH 14,AML SH 16,AML SH 18,AML 17 ML,AML 25 ML,AML 11 (ML),AML 12 (ML),AML 5 (ML) Relap,"
"
hum_alu_at,15091,45815,20958,25880,41275,11195,21777,28991,42401,27924,21229,29189,29906,20288,23462,19457,17499,24611,43084,49419,49084,20658,19266,37749,18595,31068,38690,58203,31022,36915,22818,39323,15689,41570,39538,"
"
AB000460_at,1647,2573,1963,1082,1548,2222,2867,2548,884,1128,1604,785,1249,1300,1541,1910,1813,1505,1333,1993,1232,714,2496,1617,1978,1783,1481,1947,1502,2316,1397,1030,2656,3570,1844,"
"
AB003102_at,551,461,537,868,432,1263,750,615,545,252,439,349,165,462,634,904,764,619,401,499,269,141,1571,697,672,467,410,429,288,526,411,708,674,805,512,"
"
AC002115_cds1_at,2236,3089,2364,2152,3038,4192,4041,3313,2805,2920,2714,1253,2110,1777,2687,3998,3027,1718,2596,1923,1601,9268,3436,2212,2291,3852,2350,3066,2880,3110,3510,3927,5404,1667,3920,"
"
D00762_at,645,395,376,399,516,1687,430,646,319,475,309,313,284,511,481,1127,1336,476,504,339,625,98,804,380,573,467,442,306,401,457,346,586,691,490,386,"
"
D00763_at,1324,905,1456,913,2008,4608,2495,1895,1305,1574,1181,905,1172,688,791,4330,2301,892,1100,695,1159,1490,1227,526,737,1710,591,726,1129,1090,978,1766,1711,1314,1193,"
"
D11086_at,1497,1122,1619,2062,762,2343,2310,1421,665,756,979,937,1197,1088,898,3897,1762,1462,861,2193,2562,537,777,1118,2127,1647,630,1168,1029,3619,805,1573,403,1922,1827,"
"
D13118_at,3245,2768,4058,2668,3339,3561,4366,2268,1728,1670,1874,1877,1605,1905,2107,2739,3120,2484,2793,2062,1644,2901,5283,3487,2899,2634,2285,2763,1950,2681,2508,2303,4103,7344,3396,"
"
D13370_at,2028,1366,1933,1252,2284,3931,1398,2020,1050,1303,1953,1953,1454,1129,1237,2795,3292,1388,1767,1501,1845,676,1793,897,2017,2703,1684,1050,1433,682,1401,1543,2381,2141,785,"
"
D13748_at,2434,3225,4583,4543,6713,6817,3846,5425,3922,4062,6524,5885,3726,3051,3568,7000,10632,3313,4586,2968,1540,6702,11217,4923,7417,8824,5110,5659,3771,6805,4417,5483,9071,5186,4056,"
"
D13900_at,1634,2293,1077,1809,1607,3233,2404,1745,886,1836,1992,1199,1409,986,1611,2675,2646,978,1705,1158,1822,1942,1569,1416,1145,2141,1008,995,992,2199,1482,1477,3085,2681,1598,"
"
D14043_at,1160,231,1427,1093,2927,3479,794,893,870,610,621,1091,348,721,762,1263,2719,1306,456,2345,724,788,792,416,1059,957,615,482,371,593,341,1006,1353,2307,1007,"
"
D14530_at,16642,13361,16673,16061,19362,21519,18585,17067,16511,13143,15098,15230,12071,17966,17544,17040,19197,16347,14861,15038,10739,18951,19821,16968,16366,14452,17198,11959,15716,16422,16436,16098,18674,18700,14528,"
"
D14694_at,1573,1431,1155,1569,2006,1883,1964,1883,1011,1080,2007,859,1271,1166,1315,3082,1810,1403,1510,1568,732,2994,1413,1269,997,2145,1493,1517,1635,2119,1570,1277,3042,1954,1540,"
"
D14710_at,3343,2920,3187,3358,5148,6462,5320,5546,3278,3941,3260,3417,2968,2244,3424,8928,6471,2719,4451,2999,2150,3631,3614,3383,2765,6868,2865,2460,3192,2917,3104,5898,6013,2429,2571,"
"
D14812_at,2890,2404,1305,2553,3610,6604,1830,2376,1408,1704,2436,2233,1189,1729,2524,3916,3220,2331,1283,1460,1273,846,4661,3296,2223,3080,1507,1338,1812,2691,1706,3029,2940,4052,1855,"
"
D15057_at,338,369,178,593,628,2613,320,1444,468,456,534,833,117,255,654,692,1168,238,541,275,767,1118,540,432,334,781,723,797,412,342,433,1091,834,151,338,"
"
D16217_at,874,407,869,775,369,795,752,349,499,283,527,460,586,623,565,722,868,380,304,494,449,608,1057,917,447,696,406,673,271,381,259,508,1350,1081,1862,"
"
D16562_at,2452,1494,2491,2939,2719,3794,2967,2442,1877,2981,2123,1621,2688,1003,1305,4596,1916,1434,1263,1794,2722,2417,1786,2540,3660,3679,1474,1585,1898,2468,2073,3086,4320,1214,1922,"
"
D21260_at,1400,243,1424,1126,1084,3784,1428,1169,1235,932,829,1015,637,366,618,2011,2153,780,671,6715,1276,553,1783,1214,878,1647,493,401,842,645,243,882,1733,1203,1443,"
"
D21261_at,7819,5305,6652,5790,4284,3303,12104,5017,1913,1885,4853,2994,5873,5244,6221,11461,7875,8431,5522,4830,4478,18941,17159,12832,15392,6327,5102,8052,3050,16342,7440,5270,12113,13164,6813,"
"
D23660_at,10477,11541,12003,12489,14407,15324,12658,20619,14193,17933,18328,13896,15569,16458,13370,17739,16880,12094,14007,13312,7943,11209,11094,12627,16902,22141,14880,11520,15775,14335,13046,16150,16499,7902,9793,"
"
D23673_at,3617,2819,2037,2188,1723,6308,3391,2426,1906,2867,1800,3487,1598,1715,2182,2067,4377,802,1632,2518,2554,1048,2239,1482,1012,1706,959,1832,1037,2041,1652,1004,2088,2824,1566,"
"
D26068_at,3355,3314,1950,5350,3158,3943,3081,2811,2331,2552,1902,1901,1949,4656,4824,4591,4165,4100,2466,2304,2160,1545,5092,2910,3844,3106,1521,1904,1896,4152,2361,2964,3494,2453,2258,"
"
D26598_at,1226,1764,1693,1657,2399,3141,2299,1936,1560,2769,1059,1656,1468,849,1718,2390,2282,1483,1642,1272,2043,3106,1518,1148,1224,2202,974,1344,1611,856,1367,2286,2654,1653,2590,"
"
D26599_at,1703,1537,1856,1072,1410,2953,2265,1862,1197,2539,1314,1182,1181,746,997,2368,1205,1095,1452,1431,981,1763,1378,1323,1388,1990,933,1156,1249,1144,1486,1977,2293,1046,1459,"
"
D26600_at,1647,1204,954,1578,1191,2029,2193,1566,1115,1435,1792,1012,1830,1022,1147,2865,1995,842,1033,911,836,1501,1384,1393,1557,1215,735,1088,631,769,995,1277,2243,590,1014,"
"
D29012_at,1944,2317,2602,1388,1178,3438,2153,1421,1740,2146,1122,2015,1655,1592,1115,2406,2683,1449,1765,1320,2292,1214,2128,1552,2009,1711,1077,1322,1245,1280,1527,1290,1915,1211,1299,"
"
D30655_at,3025,5798,3626,4436,4148,9660,2203,3591,3064,3523,5868,4143,4320,5923,5003,7897,7311,3004,2224,2255,2269,651,4902,1774,2307,2400,2950,1437,1697,3053,2235,2001,3942,5031,2634,"
"
D31884_at,716,1226,1023,956,613,595,893,555,675,696,766,698,479,968,1377,424,713,1239,406,728,495,679,1220,1047,1274,904,459,899,664,1434,850,862,586,864,500,"
"
D31890_at,653,1040,1395,1179,1304,1745,1752,1469,829,1277,1491,1234,1319,1474,1151,2503,1854,1271,978,803,533,1677,1351,1039,1229,1529,676,921,781,793,1199,1354,1782,1173,1341,"
"
D38047_at,2111,1704,1660,2078,1223,2638,2020,1898,1627,2406,1706,1895,1573,1461,1519,3219,2486,1910,1423,1225,1156,2510,2115,1814,2420,1312,1014,1118,593,1421,1392,1775,2225,1569,1494,"
"
D42043_at,2170,1532,1459,1501,1065,2419,1189,1253,2009,1089,1826,1799,802,1618,1823,4034,2195,2721,1370,1290,2582,830,1188,742,1500,578,552,565,524,1198,764,678,1397,1632,1160,"
"
D49400_at,1174,1141,1007,685,1138,1408,1558,1040,778,987,992,808,903,739,702,950,858,877,866,775,589,2818,2736,1265,2030,1278,1181,995,781,1176,1155,1449,1882,872,1675,"
"
D49489_at,1020,1033,680,826,1435,2477,1357,1660,1218,1230,1947,1413,640,541,1194,1714,2461,302,1108,1125,620,537,1173,1019,815,1895,744,664,1433,793,916,1636,1051,371,678,"
"
D50063_at,1291,844,898,612,958,1973,1158,1175,1002,1113,658,477,866,704,886,1316,968,918,783,932,1131,579,1141,553,977,785,888,803,578,708,475,819,1241,778,732,"
"
D50310_at,4031,3558,2671,5071,2252,4841,2770,2900,1812,1795,1988,2093,1792,3403,4095,4217,4328,5836,1640,1972,2168,1619,9661,7339,7904,3175,1784,2055,1021,4083,2848,2212,3166,3291,2034,"
"
D61380_at,966,970,1193,1310,3280,4699,1547,2742,1367,2419,1943,1093,1994,1105,1558,4094,2977,1598,2241,1897,810,3075,968,1472,1450,3978,1652,1131,2412,856,2243,2808,3047,837,2136,"
"
D63476_at,1396,586,849,1219,666,1123,957,626,790,649,389,534,478,689,897,1247,1008,1588,534,1272,584,289,1413,1226,1113,646,332,741,329,710,522,341,916,1805,783,"
"
D63874_at,4157,5726,3358,7074,8670,11744,7533,8218,4675,6619,3351,2932,3903,2673,8199,9722,7077,4921,7437,6445,3451,3537,4578,2431,2365,7796,2678,2070,4828,4336,4428,4446,5155,7260,5261,"
"
D63881_at,645,347,691,984,1124,1617,309,734,326,198,568,460,160,471,859,1543,838,561,249,231,226,181,1020,438,384,487,141,200,183,290,193,345,233,347,206,"
"
D64142_at,5152,19135,1046,7696,3967,5801,5813,6989,3997,6269,6037,3823,7745,7726,13500,6726,4693,7535,2349,3007,7043,3992,14234,11010,14103,4078,1603,3406,972,13990,10311,4329,4525,5465,2977,"
"
D78134_at,1559,1894,982,1838,1054,1663,1710,1174,1189,3056,1344,1113,878,3983,3828,2347,2866,2986,916,1066,930,742,5942,2534,4463,807,452,1387,636,1436,1353,1575,1304,2420,1183,"
"
D78151_at,1554,1528,954,1607,1525,1644,2813,1441,1273,1685,1503,1020,1181,1481,1738,2106,1820,1629,1615,1743,1731,1018,2461,1528,1815,2385,972,1715,1251,2195,1375,1514,2029,1653,1130,"
"
D78361_at,9881,11954,6137,13871,15873,13777,9419,14290,14537,16701,10893,10874,11853,8562,11773,12897,10878,9216,11848,7706,5637,20847,14077,7733,13549,15130,10507,10707,10228,9742,10285,9086,18478,13351,23311,"
"
D79205_at,25071,25069,28306,30820,25794,25231,26823,19968,15910,18872,21328,20192,18045,21843,24027,24352,25277,19821,21519,18305,20795,29147,26012,15707,19082,22720,21675,18848,14509,26591,21299,15713,24292,32079,27745,"
"
D86963_at,575,989,607,496,491,609,790,464,254,544,534,329,297,400,650,644,484,351,469,584,640,222,1017,490,596,701,326,574,325,654,437,297,579,547,572,"
"
D86967_at,4346,2928,1057,2947,1193,1735,1340,1056,2011,4824,2046,997,1016,2188,4227,2045,1994,1034,554,1194,2821,289,1182,798,974,2045,813,995,1233,1283,628,306,1169,1379,1058,"
"
D86976_at,1380,1378,765,558,737,1722,1458,1875,783,818,1067,1865,649,2978,1881,3077,3033,1256,1348,1292,1448,925,1502,366,986,1258,764,1307,371,784,880,319,2644,3095,2497,"
"
D87735_at,6251,7367,8037,8357,7172,9132,8094,9666,8220,10933,14236,9017,10197,9830,7966,9991,10261,5957,7087,7436,5767,8769,9286,8309,9543,11420,8088,6101,7161,8403,9087,8873,8741,5346,5273,"
"
D89667_at,1271,1458,1663,1226,1605,2628,1373,1872,1314,2143,2552,1194,1577,2212,2195,2260,3024,1517,1133,1030,780,4342,3704,2170,3399,3947,2073,1984,1816,1590,3018,2097,3486,2166,3000,"
"
D90209_at,1095,2295,1171,3506,1849,1225,1337,1977,1060,2167,2298,1277,1896,2957,5977,4280,4953,4091,1872,669,744,1544,8130,1753,2100,1547,713,1295,946,5676,2469,3160,1845,3353,2024,"
"
HG1078-HT1078_at,2811,1472,2250,2884,1550,2611,5776,1534,1471,1432,825,1556,1528,1653,2206,1461,2259,1271,916,1722,1883,681,2793,1166,817,1208,959,2905,1517,2466,1168,915,3453,7178,4443,"
"
HG1112-HT1112_at,1495,1120,1011,1208,1626,3655,1682,2218,1752,2062,1920,635,1533,1463,1210,2081,3496,772,2419,1727,1309,591,1623,1035,1006,3873,827,1013,1134,1157,785,2536,1358,935,597,"
"
HG1153-HT1153_at,1016,1682,4028,1462,3593,4661,2773,3093,1572,1252,3640,2147,2984,1542,1718,4744,4394,2402,2865,1581,1860,4845,3021,2548,4320,5279,3252,1761,2831,2338,4367,4072,3546,1892,3083,"
"
HG1800-HT1823_at,19655,14445,19456,21200,21516,21530,17016,18758,16861,17818,16816,14469,17471,20009,20159,18931,19799,15761,12013,17844,14816,21300,23182,20753,19550,17726,19352,11535,11800,16723,19347,20723,22614,15943,16484,"
"
HG1862-HT1897_at,4788,2189,1828,4721,3400,10164,2910,1812,1814,1909,2252,3136,2533,3768,4784,4141,5347,2926,906,2433,3566,1200,1495,836,1321,1805,874,1622,1673,1885,1654,3490,4885,2396,2300,"
"
HG2279-HT2375_at,3447,2807,2036,2496,3028,4738,2701,3858,2458,6282,2716,3452,2322,1518,2035,5168,5913,2809,5070,2907,4163,9689,3796,4093,5060,4714,4369,4327,2317,5973,5698,5244,8111,5736,4545,"
"
HG2873-HT3017_at,18100,20564,21816,24207,24405,22757,23426,23404,19758,22067,26575,16165,24154,24616,22692,22656,21976,22617,15757,19654,10597,26949,22817,22690,22661,24117,21718,17442,23450,19480,21479,22725,23945,17599,23001,"
"
HG311-HT311_at,7559,7022,5853,7380,6039,10728,7303,7233,5850,7448,9140,5791,6868,8592,8385,11166,11274,8317,5060,5155,5363,8791,8580,6921,10238,5354,5705,3369,2783,5193,8015,9152,8227,5093,5472,"
"
HG3214-HT3391_at,20707,30146,26201,23136,24378,18971,23792,22283,20710,20608,17598,18500,25698,22931,20347,13950,18594,22534,20798,23429,22800,23365,23695,23547,19641,18472,20726,16870,20371,20876,19211,24928,18127,27004,23617,"
"
HG33-HT33_at,12801,14862,16269,22868,12850,18447,13260,14833,12915,13477,17030,22367,15432,14323,17540,17506,18517,10103,17278,14239,13075,14689,17808,17231,13624,17868,20551,8997,6242,14150,10801,10015,17406,14991,11783,"
"
HG3364-HT3541_at,19899,17086,18443,16397,26019,19944,22178,23304,20885,20889,20176,21478,21778,23267,21901,19708,20478,22837,24712,21666,27061,24890,23213,23704,19497,20861,25427,16611,20397,21912,23421,24248,21154,31648,29483,"
"
HG3514-HT3708_at,4281,3901,3017,7076,4513,6532,3853,3140,2543,3762,3024,2775,2623,4416,6353,7321,7094,9817,1982,2150,2071,3689,6215,4155,5126,4969,2403,3758,2959,5743,4385,3499,6154,5506,6053,"
"
HG3549-HT3751_at,24223,23575,19238,29047,23523,24225,18166,24625,22065,18734,26205,29875,19970,23861,23947,24906,23847,24616,21499,18431,23352,25439,21563,17780,20699,20039,21091,15779,14577,15340,20553,18860,19438,14417,18608,"
"
HG384-HT384_at,9070,5887,11624,7500,10248,11871,8889,8376,5615,6075,8232,10569,10666,8888,4916,3151,10165,8088,6253,6658,6326,12253,11081,7641,10404,7043,6433,5013,8577,6419,8180,9599,6383,11082,7003,"
"
HG4297-HT4567_at,928,383,424,998,1239,1730,417,740,704,886,829,321,430,1025,1133,1797,2218,794,304,208,396,308,997,792,1007,1786,298,278,561,535,662,1349,930,197,838,"
"
HG4319-HT4589_at,13924,13327,18352,13667,16498,19330,16063,19359,11569,13639,19630,7847,14974,15861,18172,24656,14669,11759,13705,12661,6115,12208,18951,17569,22695,20443,18644,9449,15191,16381,17390,18452,18990,9428,10905,"
"
HG4542-HT4947_at,11003,9378,5760,8030,8857,13018,3688,10187,8660,8482,12457,9233,7266,11246,10268,13881,12863,9412,8415,6095,7117,12184,10807,8152,13085,8090,8508,6107,5157,7044,10448,10032,11562,6734,5319,"
"
HG613-HT613_at,11216,10894,14278,16958,19194,17884,15690,16051,14133,14412,15299,12268,16020,15920,13454,13705,16982,15887,12137,18910,9224,16968,14972,9576,12450,13631,17512,14200,13838,16827,13200,11575,14501,18386,10923,"
"
HG662-HT662_at,4767,4704,3785,6299,6247,9361,6229,5677,4331,4480,5727,4580,5148,7554,6936,6992,8839,3903,4673,3154,1644,5335,6947,5306,6609,4505,4540,2961,3292,5086,4983,4520,6268,5023,4765,"
"
HG821-HT821_at,14255,13363,13948,13223,13635,14363,15318,14968,11871,12012,14464,14463,15514,15535,13760,14688,16433,13166,14100,9519,9338,16771,16542,14705,15445,15238,12608,10246,9010,13006,14815,11886,15094,14493,16212,"
"
J02902_at,2447,2148,1285,1581,865,2006,1987,1892,1468,2438,1590,1820,1304,1012,2414,3132,2803,1938,933,1202,1522,941,2277,1574,2133,2377,1082,2145,701,1887,1355,1434,1609,1588,1536,"
"
J02923_at,1673,531,714,576,983,955,960,760,860,723,478,1090,1370,1132,1163,2753,2155,3056,728,535,945,641,1641,1019,3505,1187,978,1440,1070,136,918,1014,3153,1060,2555,"
"
J03191_at,5807,6290,6532,6777,6108,8751,7547,7047,4932,7301,5670,5610,8169,7237,6630,9180,9407,9331,9806,5901,7292,10368,6895,5010,8894,12026,6032,8574,11218,7171,6854,7687,12086,4988,9705,"
"
J03459_at,849,523,1338,785,884,1674,1676,1000,1372,518,3440,799,1265,767,682,1859,1927,674,1048,1215,452,3100,909,708,1361,4103,1088,1523,2501,999,848,917,4721,1187,1767,"
"
J03592_at,9621,5907,6167,8816,8361,10661,7007,15895,2757,9047,10380,11977,9783,9046,10990,18753,12299,10610,9294,4771,5828,14020,10560,7806,11109,9883,9220,6188,1866,4048,13331,10032,15216,6078,9596,"
"
J03827_at,6895,4823,3544,7214,3927,6795,3809,5831,4139,5012,3578,3868,5433,4332,6734,6258,4659,5699,3053,2806,4199,3813,8080,5684,6774,7931,4101,3764,4699,5680,4316,7948,6852,5343,4448,"
"
J04173_at,2398,1542,1547,1092,1805,3106,2420,1897,1437,2416,1405,1152,1406,1337,2543,2984,3162,2210,1977,1027,1942,4944,2144,1492,3707,4138,1818,1817,1963,3220,1717,2073,3519,1187,4177,"
"
J04988_at,4483,5738,6453,7602,5018,10813,8003,6328,3269,3904,9625,4344,4953,6290,8311,8866,12184,5765,5886,3932,2099,2494,7296,5462,6453,7788,7431,4157,4006,10557,7051,6587,7168,7650,3746,"
"
J05249_at,2004,1187,1278,1024,1655,3326,2307,1318,1156,1357,1169,1006,835,890,1103,2166,1416,764,1048,1604,1634,855,1597,683,1030,1650,1161,1610,1365,1727,965,812,1948,2157,1024,"
"
K03195_at,582,342,639,2358,697,798,588,538,1418,382,352,262,508,633,799,509,887,441,277,643,439,341,745,752,591,307,290,417,490,411,551,771,493,1184,627,"
"
L02426_at,822,873,676,1487,872,2654,688,1532,752,1549,1023,990,969,825,1194,2613,2307,1610,1021,290,925,1521,2291,1476,1255,1039,499,621,729,1265,1135,1858,1004,1366,1580,"
"
L03532_at,1684,2853,497,1775,1180,2585,1859,1388,1132,2220,1090,1324,1270,2196,3155,2749,2643,2173,1016,1114,851,173,2521,1168,1313,1384,589,445,572,1413,1290,2125,1089,683,678,"
"
L06499_at,20764,36200,28622,28380,37774,15390,29500,31076,36329,29313,22116,29051,31530,23802,27087,19932,17049,27923,44125,38545,36150,19842,23458,36297,20000,31321,37108,39663,33011,37374,27138,37795,20306,49267,41778,"
"
L06505_at,9324,5175,11659,9357,12156,10879,7507,14993,10811,7234,12188,12674,12417,12998,9548,13356,12173,14236,19612,11994,8121,14330,13363,14807,12220,12117,16411,9421,14021,9042,14134,15172,12165,14243,12429,"
"
L07633_at,3586,5453,2295,4595,3992,5709,4027,2917,1776,4192,3673,2515,2134,4550,4345,6682,6179,4010,2673,2420,2724,2753,1768,1975,2544,2936,1562,2664,1635,836,2440,1832,3285,1740,2743,"
"
L08666_at,987,1185,961,2404,920,1519,752,829,773,871,629,554,406,1347,1126,2796,3124,716,808,574,381,577,2855,1454,2312,1219,847,939,983,1441,1029,1443,1315,688,722,"
"
L10284_at,1859,1728,2336,2621,3107,3417,2844,1956,1576,1550,1958,1494,1534,1302,2095,3965,3358,1680,1715,2152,1179,1495,2292,2355,2908,3611,2018,2111,3356,1634,1872,2292,2993,1640,2511,"
"
L10838_at,2794,3287,717,2752,1357,3511,2166,1836,1718,2226,2151,3358,2241,1604,1622,2558,4008,1475,1026,1333,1372,170,1651,1770,1367,1586,959,757,766,1166,1081,1925,1244,932,790,"
"
L11566_at,12112,10206,12307,8948,8834,13261,10583,16198,10016,14610,17990,12937,12799,14332,12169,12267,14631,9118,12627,11440,7724,16925,12971,10219,15252,13323,9585,6926,9332,8168,15505,12225,11676,4925,9429,"
"
L12168_at,3477,1571,2103,1379,1987,2435,3558,2185,1285,1814,1591,1389,1568,1666,2428,3132,2568,1910,1655,1704,1601,3700,2354,2377,3748,4050,1702,2809,1833,2405,2521,1171,4917,2849,4033,"
"
L19437_at,990,1105,1468,1931,2866,1841,1273,1673,2007,1654,1531,1289,784,859,919,2472,3119,1565,1590,1246,1987,4850,2283,1949,2237,2268,2763,2061,2312,1770,3072,2086,3356,3085,3588,"
"
L19527_at,15020,12364,17493,13078,14840,17369,20723,15082,10206,15260,16473,16934,17081,16234,14049,13711,15326,10996,11291,12795,11957,19037,15431,12261,16166,18622,12956,9514,17206,10553,15379,12129,17219,8894,13710,"
"
L19605_at,1790,1429,1215,1262,603,1005,2097,721,834,1263,846,623,1421,1765,1962,1418,2248,2704,993,842,1408,4088,2138,1816,1871,2101,1138,1870,1744,1127,1937,1347,3119,1984,2509,"
"
L19779_at,4660,19693,1033,4481,2904,5431,3984,3844,3966,4431,21084,13488,12168,4670,5834,7643,4079,2598,639,1238,3927,7689,11468,15950,17961,2993,4086,3916,501,20633,11733,1260,3508,8851,2717,"
"
L22009_at,3401,4185,1600,1964,3271,2561,4135,1772,2579,2192,1609,2549,1805,3556,2411,3023,1998,3249,1934,3540,1342,443,3350,1932,1610,2714,1991,1288,1947,1499,1696,1693,2598,4221,1941,"
"
L25080_at,7881,6177,4785,5152,3433,7974,6812,7274,3249,4864,4885,3790,4517,5031,7425,8814,9384,7353,3028,3193,4499,5659,5109,3409,5917,6845,1784,3879,3015,5828,4016,3399,9345,4001,5880,"
"
L26247_at,4279,7905,3402,16136,3627,8052,3456,4037,6057,5202,6723,9089,6336,15224,13678,10197,14999,11105,1857,2049,3512,7878,11585,8898,9850,2486,2952,3604,1960,5962,7360,7089,5550,5131,6378,"
"
L27706_at,486,241,254,637,592,1117,807,839,367,462,653,365,146,290,477,1123,753,380,521,448,213,161,512,213,358,975,398,231,266,446,417,295,585,474,447,"
"
L28010_at,802,813,626,494,922,1608,937,1343,723,862,1073,421,566,317,546,1231,1598,333,636,566,582,300,471,446,559,2233,444,846,820,656,427,323,1062,485,637,"
"
L32977_at,959,941,638,1378,712,2023,881,947,778,1080,1033,658,887,1709,2355,2903,1884,1122,781,329,503,1545,1753,1554,1842,1572,265,581,969,1070,1057,1738,1264,534,685,"
"
L36151_at,1810,2462,1581,1596,1910,1870,1678,1801,1317,1483,1548,1716,1253,1985,2211,2283,2036,1947,838,865,1875,1574,2656,1548,1644,1335,898,973,859,1469,907,969,2350,5481,2953,"
"
L38932_at,2022,1494,1447,1099,1143,2478,2266,817,757,1045,1064,1199,1056,1396,1355,1919,1934,1230,1033,1156,1054,896,1909,1013,2021,1003,933,1428,1061,1521,1192,945,1308,1968,1169,"
"
L38941_at,15962,11852,16904,16685,15022,24273,15941,15475,11359,12584,13706,13460,13018,20050,14402,15400,20948,17295,11563,13088,7330,23661,22637,17062,18947,10351,14128,11671,16673,16459,15767,15585,10887,18911,13590,"
"
L40027_at,1125,890,535,906,1006,1286,1051,756,1048,767,770,613,728,661,783,1122,990,1151,858,929,803,804,1196,939,963,1321,666,816,590,908,1040,625,1401,1569,1746,"
"
L42542_at,474,188,579,517,506,905,673,455,437,478,477,479,303,149,277,923,1086,318,229,406,294,232,195,199,218,525,308,525,471,361,297,369,460,365,386,"
"
