Accession,ALL 19769 TA+ Norel,ALL 406 TA+ (ML) Norel,ALL 4466 Norel,ALL 1245 TA- Norel,ALL 16125 TA- Norel,ALL 23368 TA- Norel,ALL R28 (ML) Relap,ALL 1234 ML,ALL 1305 ML,ALL 1421 ML,ALL 1425 ML,ALL 1486 ML,ALL 1457 ML,ALL 1256 TA+ (ML) Norel,ALL 1275 TA+ (ML) Norel,ALL 1101 TA- (ML) Norel,ALL 1319 TA- (ML) Norel,ALL 522 TA- (ML) Norel,ALL SH 6,ALL SH 12,ALL SH 15,AML 15 (PK) Norel,AML 19 (PK) Norel,AML 10 (PK) Relap,AML 9 (PK) Relap,AML SH 5,AML SH 13,AML SH 14,AML SH 16,AML SH 18,AML 17 ML,AML 25 ML,AML 11 (ML),AML 12 (ML),AML 5 (ML) Relap,"
L43631_at,841,449,589,634,920,1307,904,967,680,893,530,567,575,615,782,1467,1298,699,614,630,650,232,1559,456,641,840,367,488,480,424,580,599,998,1650,697,"
"
L76191_at,1720,1052,418,1867,886,1973,2106,1590,478,784,1107,1594,1330,966,1759,4430,2688,2842,1505,860,1321,910,2299,822,1800,1036,715,1069,536,1075,621,828,1131,1485,1037,"
"
M11353_at,14913,7794,9013,13379,11063,16017,11629,11175,9545,9870,6069,6802,8171,8332,12692,14383,14028,12819,7858,9349,10541,14571,9441,7848,8523,9696,5426,6475,11859,11606,8667,11138,15332,17247,15170,"
"
M13450_at,2149,999,1430,1288,1107,1590,1192,1563,1096,1506,896,918,1058,638,1275,3425,1789,769,961,903,803,1221,1604,852,1350,1688,797,778,751,851,905,791,1428,1615,1285,"
"
M13792_at,3221,4142,1462,2208,3681,7756,4813,4714,3922,1850,4662,2931,3765,1826,2694,9487,5149,1365,2506,3777,5104,1027,6330,1319,1243,648,1004,1845,1162,1636,2583,1056,1562,8883,2082,"
"
M13934_cds2_at,14108,12229,15423,13773,14888,15725,15956,16093,13756,13158,15244,13721,17228,17659,15169,15722,15454,18332,22530,12854,8167,20506,17020,19295,17877,13623,14462,13773,17036,9211,19378,20506,15551,20918,18323,"
"
M15182_at,1491,984,1166,1265,838,1365,849,1149,826,1125,648,1074,578,724,1331,1327,888,981,699,1539,782,1540,1893,1076,1618,1716,746,680,1303,1339,1155,1167,1486,3760,1624,"
"
M17733_at,14223,27495,10723,20812,10944,18163,18928,16383,23712,21110,13661,19203,24451,15229,17962,19052,17351,22852,8483,10706,17305,22296,18943,12939,15761,19448,7419,19374,25420,16528,18200,7626,18214,8523,23272,"
"
M17885_at,20663,18486,25880,17117,23838,21619,25946,29601,21650,24142,26524,20935,26742,22775,19809,25139,22899,18359,26762,30173,14788,27224,21375,25253,25251,35742,26494,20069,27157,26411,26651,25774,22533,19348,18508,"
"
M17886_at,14744,13566,23159,21466,28736,15850,21651,25335,28810,20811,19288,22230,25683,19598,18947,17611,16519,19955,31500,31216,24041,19046,19069,28010,16269,28110,33254,27451,27585,28026,23125,28973,17044,18613,31703,"
"
M18000_at,17748,15087,18982,16934,22279,19196,21626,19983,16364,17342,21999,12072,18551,19460,19195,20170,17392,12999,22236,19109,11606,24115,20086,19357,21647,26990,20979,14948,25728,21262,22925,20795,19674,14251,18068,"
"
M19283_at,6284,5870,7440,5996,7176,11195,9701,8097,4228,5130,5604,5111,10216,5639,7605,16319,13570,12764,8897,5268,8319,7538,8996,5070,7033,11593,8884,7742,7920,7661,7410,4042,9315,6349,9964,"
"
M19483_at,2810,1808,2538,2737,4087,3390,2369,3312,2266,3159,2767,2419,3223,1915,2479,5980,6569,2994,3467,1928,1888,2775,2886,2626,3121,8396,2515,1968,1992,2717,2525,3251,3705,2778,2414,"
"
M21186_at,6312,6387,1878,3113,13617,9346,5390,9337,7328,6617,7014,7495,6098,5597,4620,10515,8445,8146,9913,10181,10922,14238,6798,5617,6079,16396,12777,15124,15334,8019,12201,4505,14521,9220,15436,"
"
M21259_at,1716,963,1453,1419,1857,3438,1524,1901,754,1562,1687,453,1519,1008,1919,2727,2398,1418,1375,1030,1138,1659,1987,1049,965,1633,847,494,1118,1228,1487,2551,1129,580,1216,"
"
M22382_at,1683,745,2649,1638,2807,4558,2636,2548,1735,886,4389,1248,1308,727,910,4752,2415,423,2256,1568,566,999,1326,1204,1112,5139,1238,738,1960,3277,1696,1788,2693,1762,1149,"
"
M22760_at,625,873,718,806,956,1484,1005,1139,677,889,970,577,988,488,765,2298,1061,1120,776,767,462,1505,840,780,918,1549,607,599,1054,884,1133,1423,1507,569,1098,"
"
M23613_at,9459,7925,7016,6355,9519,14338,8758,10369,6129,6777,7565,5805,10640,9539,10687,14473,14582,6468,7908,6246,3047,3461,10136,6613,6232,8514,8082,4383,7511,3086,8070,11729,6486,9195,5300,"
"
M24194_at,16944,20417,17509,20975,21877,18472,23118,27668,29721,23279,20815,23048,27841,22269,20507,22780,19639,24548,25559,20327,15439,23671,18944,17424,18672,25035,26829,16512,24327,12458,23619,27536,19770,23913,19516,"
"
M26880_at,6594,6406,5197,7521,3650,5654,9769,2794,2629,3959,6855,3182,3486,5400,5760,5837,7997,3853,2673,3334,1408,9117,7107,2966,4000,5078,1594,6290,1923,10071,6008,2968,8740,6796,7045,"
"
M29064_at,1513,866,1118,1601,2097,2336,1816,3050,1485,3537,1740,1423,892,792,1565,3611,2553,652,1537,1578,856,611,610,782,712,2492,744,846,1111,1363,639,1536,1490,1133,1264,"
"
M29877_at,2987,589,443,338,434,1103,465,313,524,1654,621,337,349,695,677,551,1115,204,479,419,533,413,900,321,378,442,273,340,260,212,337,536,691,403,704,"
"
M31013_at,2676,2080,1916,944,1689,2616,1950,4245,1944,2570,1688,2092,1706,3825,3250,9321,5471,5307,2721,1400,1487,2792,2998,1613,2590,2400,581,3313,1641,3467,1691,1106,3893,3556,4434,"
"
M31520_at,14924,9969,15831,16866,11969,16659,18969,11671,10746,10306,14190,9828,12939,12127,13199,14705,15112,12268,12235,10439,11085,19344,17548,15616,16090,12190,14192,8868,12212,11983,13630,9986,18183,13403,15008,"
"
M31525_at,1705,1158,1586,280,1130,895,1131,580,617,1316,1211,1192,816,1014,789,921,1157,768,946,991,869,1082,1061,1168,1190,991,945,862,775,1315,1553,486,1469,2239,1501,"
"
M31627_at,4971,3321,7208,5941,4539,8477,980,1978,6622,4834,3594,3692,974,1471,2151,4599,5111,591,1135,2796,5887,1009,1711,1369,2506,1599,1116,1013,1319,1941,1039,901,1316,3760,1494,"
"
M32405_at,6163,4591,6858,7547,7586,6329,7067,11169,8751,9668,7919,6820,9490,8114,7717,6024,7713,6244,7986,7434,5350,4208,6606,7152,4744,8807,6977,5832,8150,5806,8733,8858,4417,5389,8706,"
"
M33680_at,5565,3005,2881,5451,3250,6031,8630,11962,4283,4247,6024,5586,6205,3753,6570,11146,10196,4061,4608,7622,5452,3379,4125,1844,3281,4525,1012,-40,1237,3946,227,1221,2686,761,3959,"
"
M36341_at,775,260,509,832,661,932,679,414,425,295,392,254,357,478,691,967,728,565,197,396,332,428,913,937,457,604,385,692,653,823,318,491,839,750,929,"
"
M37033_at,6095,2203,3336,1504,2462,7571,3075,1618,2547,2840,3212,2164,2516,2373,4169,4626,4347,2223,2359,3687,2069,4703,2671,1365,4152,3624,1163,2293,2006,1959,1713,806,5749,4277,4385,"
"
M37104_at,712,625,521,1117,756,3011,898,568,497,603,703,742,638,538,753,1240,1468,478,471,404,668,776,813,520,519,720,367,457,605,494,499,1036,889,566,734,"
"
M37583_at,2030,1351,831,2976,1531,5439,1963,2661,1624,2996,2751,1683,962,677,1757,1919,2144,427,1250,1542,803,1071,1027,1945,1212,2952,1161,741,1486,1226,1096,1780,1699,466,746,"
"
M58028_at,2450,2640,1805,3940,1078,5807,3221,2107,891,1350,1275,3328,858,953,2123,5800,2307,851,2873,1951,3141,2451,2611,1755,1772,2763,1147,1783,1643,3805,1545,817,3998,4207,3102,"
"
M58285_at,1917,1453,1497,806,798,819,1458,1391,307,784,315,258,946,898,1239,1720,1525,869,958,636,569,1585,2024,1617,1549,1989,733,729,1111,955,608,389,1484,2605,1427,"
"
M60854_at,19478,20347,20081,15196,18429,18453,22118,27508,20630,22885,22485,20432,24524,22502,21334,19623,19196,16104,23364,20993,14709,20719,20258,21624,20015,18728,22579,16518,14179,15204,23572,23261,18521,16236,20788,"
"
M60858_rna1_at,5147,2708,3611,6487,6299,8450,6795,6222,3519,4434,2761,3338,4110,3598,6013,9515,7469,5942,4631,4611,2773,2530,4790,3178,4266,6684,3447,2605,3494,5578,4380,5563,6000,4942,4332,"
"
M62831_at,3035,8786,1455,12700,4465,7188,9950,3398,3701,2487,17413,7685,8666,4247,5952,9318,11617,6654,1180,1977,889,1178,3410,1693,2680,1629,1562,3149,1043,6187,5586,1319,9422,2843,2460,"
"
M64716_at,13008,12943,12985,11210,12810,12265,16670,11297,10828,11797,13801,10897,15807,12603,12171,10809,11960,9464,11688,10554,5688,17419,13495,16968,12777,15425,11897,9050,14208,8992,13622,11868,13575,10065,14211,"
"
M69039_at,403,224,1654,919,933,1839,987,1100,661,840,1123,987,813,509,291,1230,1521,632,1061,466,330,792,530,555,699,1309,556,488,1069,609,807,1290,964,428,671,"
"
M69043_at,1489,7285,2210,9757,1128,4069,5845,2842,1062,2208,4443,4024,11194,15457,5810,5342,5450,6227,1105,1624,854,3861,4705,11291,15105,968,518,3857,924,5286,9837,4005,18579,2483,6443,"
"
M69066_at,6766,3538,5916,9632,4179,8651,5191,3254,1862,2858,5981,3783,2260,5191,6880,10462,10113,6964,2828,2752,2302,5784,6873,5251,5544,9096,3044,5134,4507,7085,4734,2190,9188,6560,7267,"
"
M74002_at,1210,922,1879,1121,985,1869,823,934,502,584,610,459,761,1405,2159,1619,1336,1900,396,721,477,488,3190,1279,1523,576,424,296,287,756,986,556,1041,4619,1600,"
"
M74491_at,1815,1557,1888,602,2408,2481,3327,1365,1237,1120,1017,1130,952,1092,1754,1810,2459,2223,1370,1573,1448,1353,3003,2642,2363,3482,630,2166,1654,2262,1368,1575,2732,3554,2784,"
"
M77232_rna1_at,13058,10442,14654,10503,13064,18386,7997,14731,11095,6945,13258,10139,7798,14964,14770,13544,17212,11234,10285,12887,5505,12353,15600,13249,13045,11557,13748,9405,12841,11948,12824,14724,14675,19071,9610,"
"
M81601_at,1467,847,639,2102,1426,2540,1136,967,848,781,1559,1147,840,985,1429,2139,2241,1304,601,826,940,449,1459,929,1394,1131,485,581,1086,897,818,1075,1490,718,931,"
"
M81757_at,19295,20016,18686,19153,18576,23491,17078,17134,20275,21235,21880,19076,20751,20125,21140,25169,21970,15345,14165,18249,17328,25790,13765,18343,20390,15328,18039,13421,18715,13327,22579,18980,20228,18545,15568,"
"
M84332_at,3248,2708,1556,3474,2008,3742,2480,2313,2670,2518,2231,1666,2096,1983,3404,3721,5772,4217,2089,2518,3136,2327,5100,3767,6407,4433,2270,2973,2241,5169,2967,3425,4661,3396,3977,"
"
M84711_at,15442,13721,18701,6181,12303,20114,12895,12136,13951,13567,11786,13049,12294,16109,12156,15734,11219,11687,5482,12298,8505,13058,18131,17595,12166,11063,6674,7551,14025,13099,11967,13525,10420,13489,10284,"
"
M86400_at,6534,3215,2639,7271,2990,5422,4561,3448,1802,2632,3352,2308,2899,3768,5671,6994,9236,11195,2346,2332,2740,2070,4885,3879,5866,3669,1806,2265,2588,4640,2759,2545,5029,1935,4438,"
"
M86667_at,2283,1267,1707,2021,2242,3254,1230,4398,1656,2306,3006,1695,2651,3178,3656,5504,5048,2631,1370,1784,1212,1075,1508,2023,2681,2876,2476,933,1712,1285,2020,1364,1711,1588,1637,"
"
M88108_at,1988,1682,1389,1697,2179,1647,1202,2247,781,1698,1820,859,889,1254,1976,3865,2236,2545,968,1181,983,712,1523,1498,1396,1647,760,621,1349,923,1186,1012,1496,1070,1728,"
"
M94556_at,814,446,849,1216,958,2253,710,862,548,920,651,473,959,663,947,1931,1052,452,621,916,528,1319,1170,472,394,1053,367,395,590,639,674,1232,1219,900,1051,"
"
M94630_at,3364,1610,1767,2163,1622,2996,2239,2330,1586,2308,1477,1121,1796,1507,1765,2437,2972,1967,1645,1967,1492,785,3049,2996,2220,2380,1069,778,1013,1265,1502,1619,2574,2198,1709,"
"
M95627_at,1228,1289,1288,876,1162,1770,2071,903,951,889,855,906,784,892,1286,1942,1491,1091,1243,968,635,809,1705,1144,1202,1147,672,1233,682,1489,1323,795,1516,2301,1295,"
"
M97287_at,1122,1356,1067,667,935,1442,917,535,1355,956,851,1166,723,1651,1153,345,1703,1418,332,1354,892,403,2267,1184,1500,1111,544,760,992,732,891,512,634,2857,1091,"
"
S73591_at,9564,6124,3560,3587,4677,9468,3822,3816,7715,2793,2447,1991,4156,17060,15973,8242,7432,11819,813,1962,1619,9054,6371,4406,7018,5269,3019,3780,2886,10388,2937,4112,8795,3353,8803,"
"
S77356_at,1376,907,9674,1507,1143,2526,1504,558,382,597,247,317,482,692,1026,798,746,817,896,1024,625,962,2605,1297,2508,1317,1053,1038,1890,1140,1257,680,3265,17952,4216,"
"
S79522_at,14205,10039,13597,13353,12627,16254,12244,10306,10924,10272,10831,10514,10632,15581,15610,13695,16599,11614,7284,9911,8098,16362,15378,14691,12871,9702,10029,6367,6004,10594,12619,13368,12887,15973,11310,"
"
U02493_at,6944,4210,3292,7963,2660,11152,3837,4674,3526,4447,5542,7179,4537,3534,4865,7843,7436,4168,3160,4380,7211,1093,6952,2844,4131,5456,2871,2500,3035,3454,3485,3199,4180,3226,2305,"
"
U07802_at,2557,1911,710,4605,1950,2900,1004,2099,2495,584,1304,1726,1497,2786,4845,4093,2935,1234,1418,597,1082,752,1227,1037,1758,1841,1088,1075,921,1822,811,399,1817,3415,2017,"
"
U07857_at,3237,1385,2037,2947,2097,6453,2364,1945,1735,2222,1648,1244,2031,1999,4389,3452,2474,2261,1542,1336,1220,2713,2703,1969,2598,2522,1120,1091,1376,2301,1390,1784,2978,1257,1946,"
"
U09953_at,14573,11396,14700,17702,16544,16914,15988,10317,10838,11272,14397,8435,10349,15527,15511,15481,16166,15860,10837,13073,6657,16382,16151,10742,12859,14020,15008,9269,12988,12980,16105,11812,14320,12405,13680,"
"
U10323_at,3215,3374,2067,2798,1792,4298,2109,2722,1677,3122,1599,2033,2339,2786,3180,3670,3304,2967,1660,2438,3329,1423,4015,1331,2621,2841,1130,1594,1299,1931,1636,2957,1652,1632,1061,"
"
U11861_at,1587,2266,923,2071,1252,1646,2119,1538,1273,1340,1887,1064,1786,2046,1698,1786,1762,2122,1183,1096,790,1589,2179,1844,2467,1527,921,1598,1137,1560,2000,3007,1978,1377,1617,"
"
U12404_at,16874,10718,12138,17724,17489,21144,15572,15882,13064,12656,16121,14298,17962,20219,18236,20628,21850,18557,16000,15730,16613,20338,16986,11798,18058,14870,19354,9075,15570,14259,16301,15965,17565,17662,15054,"
"
U12465_at,11717,9257,10785,9136,14858,13958,15357,12953,12203,12200,16239,11203,13143,13272,10450,11357,12400,9019,13251,9378,9135,15908,12550,10869,12751,12672,12581,6636,9576,8821,18916,17504,12364,13202,12853,"
"
U14603_at,1890,1923,1219,2084,1368,984,988,1532,853,1206,623,1033,1123,2236,2950,4258,2312,3421,604,543,335,1918,3925,1934,2301,1137,558,714,604,1313,1552,2292,1731,1279,2868,"
"
U14968_at,13353,12994,12840,10495,11963,18141,10029,16624,16388,16400,13034,15234,16665,16628,14478,13558,16659,5628,16449,14059,4323,20088,17212,16519,15206,16627,16608,13074,16046,11114,10605,18491,9608,15276,13979,"
"
U14969_at,19130,21552,21867,18640,23006,19009,24788,27441,28330,24747,23889,23230,21831,21787,19232,20655,19863,17073,27134,21274,11654,24187,20855,24921,22157,27028,26056,22626,24341,21483,23318,24166,21291,20066,18812,"
"
U14970_at,15119,17547,17910,12360,21270,20378,14126,19739,14066,15594,22210,12573,14603,17245,13321,19303,17566,14021,18529,16307,6746,23111,12454,14423,19602,24064,22503,11173,24349,16487,16785,18871,16474,8832,8993,"
"
U14971_at,12143,12934,7975,7029,13402,11892,10070,14375,9530,9357,16864,9584,9462,13882,11016,13626,14419,10998,11790,9251,2463,17729,14252,11044,15545,11077,12510,5464,9553,10841,13300,10323,11829,18567,7717,"
"
U14972_at,12720,10278,13117,12529,10822,16759,12274,15292,12376,13352,17778,16077,12295,12638,10743,13132,14060,8532,14309,9978,7033,15419,11173,15153,14940,16058,17612,9334,13886,9107,15003,15357,12547,5972,8949,"
"
U14973_at,19398,28844,23397,24690,30741,17741,26818,22643,23323,22548,21184,24371,21764,20475,22570,19186,16642,22440,29556,27974,18403,22205,21306,25597,19355,25784,28083,23058,25442,28592,22822,23151,19833,30157,32020,"
"
U15008_at,7093,4212,4829,3933,6539,9267,4601,5632,4850,6067,5967,3403,5470,3400,3996,6718,5551,4251,4286,4215,2127,10726,3906,4618,5650,6277,4377,1978,5099,2212,6601,7719,5720,3044,3926,"
"
U21858_at,425,325,317,544,287,386,303,255,278,320,440,222,242,569,698,856,602,367,219,239,200,383,482,520,333,434,226,197,429,502,364,412,431,425,315,"
"
U24105_at,3163,2172,2371,2219,1508,1994,4087,1175,1040,1400,1338,1243,544,1439,1962,2899,2268,1511,1809,1977,953,955,1987,1804,2830,2614,1729,2747,1957,2520,1812,758,3677,3231,2916,"
"
U25789_at,6556,3176,4772,7896,7945,10338,5692,7164,7449,6365,6627,5433,7829,9038,7582,10110,8365,6747,5562,5451,2610,10729,7065,6438,7534,5873,5998,4089,5870,4165,4933,8489,6955,3844,4455,"
"
U29607_at,7072,2981,6065,7432,3189,5870,9208,2863,5083,3297,2548,4799,3751,5274,6337,3743,5571,3396,2264,4372,3218,1480,6762,3912,2703,2860,2504,4948,3516,5307,3120,2499,6394,18583,9183,"
"
U30521_at,2191,1308,737,689,1281,2415,782,2022,651,2342,506,752,853,430,1966,5316,2661,1618,1138,1964,480,315,749,408,339,2078,658,856,1108,381,799,1217,745,1141,1019,"
"
U31930_at,2070,1221,1199,2445,1718,5315,2112,2208,2187,1919,1864,1331,1076,756,1371,3476,1992,726,1914,2832,1967,1019,1104,1001,883,2363,1185,568,1641,1233,1688,1856,1275,3857,1554,"
"
U33286_at,280,289,319,298,596,1259,411,663,584,529,438,225,176,223,418,689,403,252,574,563,465,335,184,168,173,703,273,340,558,283,140,382,321,596,414,"
"
U33818_at,573,304,487,663,531,994,398,785,497,320,751,480,672,709,1105,1669,1022,968,903,494,284,487,1309,559,798,1499,837,500,1135,630,888,1127,1708,1138,759,"
"
U36764_at,1024,861,852,891,748,1087,1161,848,687,788,907,870,1044,901,987,1847,1138,734,918,612,447,989,865,770,1505,1325,695,884,900,949,901,1214,1222,596,741,"
"
U37690_at,1490,1424,1452,1536,1945,2315,1495,1870,2096,1618,1683,1331,1265,1155,1287,1491,2176,763,1630,1642,884,4461,1464,1763,2042,2777,1419,1907,1624,1584,1705,1875,2554,1870,2207,"
"
U38846_at,2170,1156,594,1248,2242,3913,1668,2319,1410,1953,2708,1793,1615,940,929,4773,3342,918,1959,1297,1159,897,925,597,1282,2489,1338,556,2052,1179,1113,1675,1247,862,1056,"
"
U41371_at,1149,1165,743,1003,619,1067,1124,1923,805,1264,757,719,776,976,1387,860,1984,1148,893,826,615,806,1996,1062,1420,1611,691,834,897,999,761,1078,1243,1439,1341,"
"
U41635_at,2044,2582,1260,1194,1826,2534,2257,1574,1584,1572,2013,1403,737,1622,2027,1594,2850,1316,2364,2065,981,2442,3189,1886,4892,4908,2028,2936,2908,3411,2216,895,4714,4299,3250,"
"
U44839_at,4819,3915,4602,4048,2946,7119,6830,3158,2838,2864,2445,3293,2425,3190,3594,2690,4641,2922,4019,3991,4064,2843,5285,4469,4400,3618,2500,3922,2780,4118,2457,2269,3869,8493,3764,"
"
U46025_at,2696,2887,2266,1368,2080,2764,216,4070,1581,1881,1683,2616,2925,1594,1231,4346,2572,2527,2955,2227,2468,1550,2578,1500,2168,1323,2091,843,1421,1881,2442,3662,5298,1683,3211,"
"
U49785_at,1258,639,992,459,598,1251,702,676,548,624,685,392,344,797,738,1244,904,731,891,1032,533,1174,1040,947,911,871,770,967,986,626,917,606,1009,973,1130,"
"
U49869_rna1_at,12454,14551,14339,23350,13367,21604,12139,15311,22926,16798,8897,15172,12372,11727,16707,10095,16717,18182,6730,7413,9966,14530,18122,15775,10688,11651,6157,7007,13746,15412,9357,17243,9753,13226,10186,"
"
U49973_xpt1_at,1137,1670,1500,908,561,751,1978,494,675,687,432,818,315,1156,1298,510,865,686,549,1179,587,76,1118,1082,802,838,603,1245,1075,1228,597,169,703,2263,1390,"
"
U50523_at,2567,1013,2326,1179,1763,1875,1483,2298,1035,1366,1275,983,2065,1701,2031,3181,2174,2727,978,973,1296,5878,4369,2518,2965,2604,1497,1032,2203,2180,1640,1814,2499,3299,4186,"
"
U51240_at,9059,11027,3004,10820,6392,7528,3665,6092,7117,9766,11375,6753,2854,10066,11334,9475,11724,5736,3869,4568,4743,4780,4158,2799,5420,2023,2030,3214,1839,1094,3220,1525,5216,1927,5708,"
"
U51336_at,1698,1035,692,1560,806,1469,1416,1097,901,984,643,695,611,968,1113,1611,1129,799,654,793,1423,2730,1734,856,1974,1474,717,1183,796,1042,777,878,2753,1756,2706,"
"
U51478_at,3756,1733,1190,2242,1933,3024,2085,3047,1370,2827,1360,1462,1376,1365,3827,3491,2083,1611,1442,2829,1954,2306,2209,2009,1529,2020,1155,1044,1876,2557,2494,2329,2868,2152,2029,"
"
U52427_rna1_at,1340,1305,762,691,1080,2078,839,1199,581,1767,1399,955,858,564,841,2066,2052,701,843,509,937,1066,964,716,816,955,467,411,720,567,958,751,800,748,1040,"
"
U53347_at,887,36,329,1708,798,1407,292,1083,682,558,1190,629,858,665,531,1449,1128,397,838,1096,1087,214,397,661,658,857,375,182,515,283,363,586,1353,1965,1811,"
"
U54778_at,1965,1228,1810,1372,1557,2763,2248,1217,540,1074,1401,636,773,541,1105,2180,1701,659,1233,1045,726,1290,1174,1226,869,1671,662,791,984,1850,798,558,2266,843,1167,"
"
U56417_at,1098,965,1029,1038,666,1507,938,455,360,641,440,659,436,578,1197,689,1036,502,666,1223,1453,565,1654,571,720,1752,874,1264,1178,1077,101,819,1308,1854,1216,"
"
U56637_at,4531,504,1759,709,2429,4652,1376,2556,2016,1334,664,766,1353,1308,2219,3181,2087,2689,1650,2057,884,4460,3686,1478,2030,2905,1580,1301,3375,1040,1512,1958,5035,3806,5796,"
"
U57342_at,2164,1431,1941,1661,1111,1962,2557,928,1069,1445,1660,898,880,1063,1462,1911,2290,1921,1270,1207,1215,1300,2772,2504,3280,1145,1108,1888,908,2100,1224,1095,2583,2437,1892,"
"
U57650_at,1956,1134,854,1462,1298,2685,1645,843,961,1395,1243,926,925,1198,1487,2581,1596,2135,1328,1380,2267,1883,1914,887,1556,2420,1450,1727,1562,2717,1162,369,2586,3261,1723,"
"
U58682_at,11731,9366,8063,7998,10729,13176,10762,14083,9124,10681,14886,8856,11232,12221,11172,9964,10300,8468,11384,10021,6438,14715,9961,11141,12271,8022,10014,4738,8495,6981,12763,9286,9383,2095,9288,"
"
U62962_at,3512,1549,2355,3358,3208,5467,1626,3036,2480,2108,4060,2210,2913,3408,3568,5059,5976,2761,1992,1114,874,1712,3158,2830,3237,2258,2794,1156,3165,1892,2402,3266,4401,2515,2446,"
"
U64444_at,995,955,496,1092,703,1074,1007,759,548,987,862,466,617,941,1265,1044,915,1006,664,584,693,572,1330,724,705,754,379,547,609,791,809,738,1031,948,840,"
"
U68063_at,1335,1310,556,1289,1468,2050,1068,1789,923,1461,1890,574,1299,1015,1443,1777,1266,1000,768,955,643,456,763,486,484,1156,424,568,958,1866,609,884,1041,1027,778,"
"
U70451_at,1537,1013,803,963,958,1036,1065,619,531,650,635,695,439,793,949,1614,1481,964,996,957,732,1317,1812,699,1269,1046,467,1403,788,1330,638,369,2624,1255,1992,"
"
U70735_at,1272,1136,818,1179,1065,980,1310,976,646,1470,1039,701,578,991,993,1543,977,494,1013,986,821,944,915,786,940,936,740,782,834,713,839,1054,1158,959,919,"
"
U72511_at,1972,449,2229,1711,1607,2082,1502,2005,1564,2020,2267,1491,1279,1075,865,2303,2644,1346,2434,1318,1151,1973,1438,2035,2654,1270,1829,1406,1925,1211,1618,2036,1727,1049,1371,"
"
U73379_at,1630,1074,2131,1071,1389,2287,1455,1997,2105,2376,709,708,1056,534,673,517,531,490,2169,1506,1006,681,1012,762,713,2844,856,850,1463,931,1285,1064,1260,2597,1021,"
"
