Accession,ALL_19769_B-cell,ALL_23953_B-cell,ALL_28373_B-cell,ALL_9335_B-cell,ALL_9692_B-cell,ALL_14749_B-cell,ALL_17281_B-cell,ALL_19183_B-cell,ALL_20414_B-cell,ALL_21302_B-cell,ALL_549_B-cell,ALL_17929_B-cell,ALL_20185_B-cell,ALL_11103_B-cell,ALL_18239_B-cell,ALL_5982_B-cell,ALL_7092_B-cell,ALL_R11_B-cell,ALL_R23_B-cell,ALL_16415_T-cell,ALL_19881_T-cell,ALL_9186_T-cell,ALL_9723_T-cell,ALL_17269_T-cell,ALL_14402_T-cell,ALL_17638_T-cell,ALL_22474_T-cell,AML_12,AML_13,AML_14,AML_16,AML_20,AML_1,AML_2,AML_3,AML_5,AML_6,AML_7,"
"
AB000460_at,1647,2128,1608,1784,2911,1438,2256,1770,1732,3170,1288,1515,2701,1405,1839,2270,1403,1479,2324,2043,1996,1354,2116,1408,2116,1772,1435,2413,1632,1971,2043,1825,2175,976,1767,1939,1461,2816,"
"
AB003102_at,551,654,756,467,1014,304,881,925,480,1159,583,348,1235,326,541,791,387,366,627,739,884,769,842,439,1368,704,534,698,372,807,1145,618,586,467,683,750,600,742,"
"
AB003177_at,588,652,999,764,614,196,637,609,647,610,342,278,1296,442,500,1043,364,603,858,781,1044,576,1321,494,1168,728,415,628,637,781,965,598,517,635,857,561,296,789,"
"
AC002115_cds1_at,2236,3083,3569,2478,2905,3397,2711,4572,3307,5052,2585,2288,7632,1310,2063,3440,3634,3335,2959,5198,4261,2832,4692,3192,3621,3055,2557,3767,2269,4238,3274,3246,3000,3393,5940,2919,1733,2319,"
"
AF007875_at,260,361,389,283,203,201,544,461,373,257,269,264,1156,778,186,600,156,127,292,362,400,156,310,265,309,282,156,209,108,262,300,268,279,310,441,275,156,228,"
"
D00762_at,645,770,1202,677,337,334,1097,857,622,454,654,472,1693,590,286,1072,242,240,574,782,1119,444,688,570,802,685,371,419,331,521,741,543,630,678,675,570,479,963,"
"
D00763_at,1324,1415,2076,1513,921,632,3365,1907,2398,1404,794,2090,6519,2912,500,2411,470,1509,1855,2304,2676,953,3038,1620,1113,1781,979,816,714,1106,673,546,814,1076,1360,1161,659,474,"
"
D13118_at,3245,3827,3814,3540,3731,2940,3016,2834,2459,3478,1794,2807,5161,2516,3133,3124,2270,2477,3682,2925,4091,3070,3820,2747,2481,3406,2583,3901,3772,4405,3448,3415,3684,1625,3102,3970,3197,3363,"
"
D13370_at,2028,2650,3255,1429,1430,926,2566,2288,1962,2753,1336,1665,5909,1569,1614,3047,1060,1396,1698,1732,2518,1666,3078,1349,2175,2329,1138,1539,1322,782,1395,1090,1933,1476,2065,2256,1081,1398,"
"
D13630_at,667,596,786,589,533,432,651,523,518,466,231,228,2298,1512,525,971,369,285,686,951,1119,295,1277,511,705,631,463,384,317,513,1012,240,492,470,758,625,453,775,"
"
D14530_at,16642,18849,20259,19386,14496,17433,17886,17094,18772,18636,16457,20806,21409,26343,18048,19439,15738,19921,20593,15527,19487,11800,18721,18373,18048,16647,11654,21381,17870,16613,18004,16181,19127,14755,19629,14924,15402,22556,"
"
D14661_at,437,352,495,253,337,363,1008,371,492,243,147,430,1383,234,598,554,276,408,359,757,531,302,728,582,646,215,403,298,324,562,916,384,552,438,808,363,532,467,"
"
D14663_at,438,399,633,535,532,334,714,726,405,991,419,362,1569,1605,610,726,264,301,586,739,924,229,1076,366,837,585,390,482,211,619,1142,708,488,924,825,596,449,792,"
"
D14694_at,1573,2115,1894,1880,1707,915,2050,2462,1385,7830,1685,1072,3836,3201,1354,2137,1240,1732,1334,1962,1329,1047,2449,1167,1462,1974,1391,2044,1387,2081,1501,1223,1683,1124,1528,1290,1319,1867,"
"
D14710_at,3343,5603,7437,4586,3656,1557,5968,7729,6312,10077,4801,3916,13737,10179,3220,6125,2097,4168,4012,6088,6291,3903,9097,3495,5864,5759,4832,5278,3253,3850,3202,3377,3982,3811,5511,5584,1470,1562,"
"
D14812_at,2890,2051,3018,2039,2086,2374,5315,2774,2979,4792,1844,2546,7250,3089,2004,2403,2193,1675,1841,3286,2686,1394,3350,3111,2534,1582,1670,2479,1315,3239,2466,1230,3415,1270,3477,2161,2318,3295,"
"
D16562_at,2452,3429,3758,2809,3037,2914,3928,3333,3205,5433,1912,1913,7817,8736,1812,3533,2432,1436,2617,3874,3826,3289,4865,2849,3456,3485,2143,2488,1885,2605,1967,886,2003,3371,3793,3881,2424,1643,"
"
D21260_at,1400,1402,1501,1528,4600,265,2428,1709,2065,1200,1254,1671,15640,970,358,1577,207,1422,1669,616,833,286,2107,413,1390,1044,250,916,730,1004,1831,886,899,897,1021,566,420,853,"
"
D21853_at,554,752,1007,789,836,505,883,847,446,1922,570,475,1131,887,600,696,665,613,826,663,670,718,998,739,927,732,1586,469,464,847,876,664,949,596,1036,767,570,1051,"
"
D23660_at,10477,17843,19284,10328,10466,14054,14446,17603,18124,16789,15543,15500,23135,15370,11727,17535,14789,12743,15654,18420,11503,12474,17881,16533,18263,18704,13991,18591,10637,10095,18796,17930,15349,14181,17475,16849,14547,10037,"
"
D23673_at,3617,2573,1983,2407,2743,1523,3525,2487,1458,3098,1347,1583,2965,2318,1784,2634,2501,3546,2465,2103,2418,1925,2036,1491,1545,1638,1619,2250,1714,1451,1391,1761,1822,796,1135,1619,1510,1794,"
"
D25274_at,1148,1312,1538,835,428,426,1249,1505,759,1010,268,802,2708,1987,732,1616,294,665,427,507,1002,622,1900,274,1288,558,788,416,452,1109,1119,699,350,849,1689,1411,1066,1200,"
"
D26068_at,3355,2423,3716,3103,2257,2085,3968,3162,3232,3338,2862,3106,8464,7855,4116,4436,2227,2564,2416,3872,3931,1744,5134,2825,5320,3051,2277,3172,1779,4976,4984,3633,4165,2255,5330,3384,2148,4989,"
"
D26598_at,1226,2217,2273,1483,1710,1457,2670,3037,2573,2261,1404,2422,4397,2090,1312,1806,1374,2263,1924,2185,2635,1940,3018,2022,2281,1543,1469,1583,1103,2056,1750,1229,1215,1599,2052,2195,1347,1261,"
"
D26599_at,1703,2396,2610,1969,1812,1740,1416,2702,1561,3057,1555,1234,3002,1684,1115,1977,1128,1705,1734,2474,4608,3255,4807,2386,3763,2555,2212,1638,1320,2547,1601,797,2447,1368,1993,3138,1293,1403,"
"
D26600_at,1647,2162,2867,1586,1368,1407,1421,3015,1484,1511,1845,1074,3504,1059,1304,1466,1475,1446,1725,2361,2666,1484,3508,1239,2893,2277,1378,1243,827,1851,1656,1031,1937,1346,1783,1811,1762,963,"
"
D28118_at,225,387,347,411,235,188,569,796,212,394,165,194,1061,2102,672,572,178,390,278,490,389,218,379,206,384,412,220,512,278,296,672,287,203,466,547,190,407,511,"
"
D29012_at,1944,2300,1766,2348,2064,1708,1775,1657,1453,893,1024,1369,2460,980,1311,1584,1240,1591,1511,1598,2836,2220,2471,1556,1590,1576,1772,1178,1356,1652,2193,1849,1674,1373,1562,2083,1731,1579,"
"
D30655_at,3025,3762,5734,4392,2115,2003,5290,4018,3965,6764,2415,3438,12461,7738,3355,5139,5412,2510,1154,6944,3738,2825,4835,4611,1798,3831,2465,4567,2142,3037,2443,2018,3498,1587,4472,1581,2307,2388,"
"
D31767_at,3186,2505,3069,2762,2696,1951,3975,3275,2822,2544,1412,2640,7297,7439,3565,4330,1691,3038,1977,3686,4187,1779,4243,1868,4201,3032,2461,3151,1598,5828,6334,3441,2859,3948,4951,2855,4403,4256,"
"
D31890_at,653,1786,2318,964,1782,1246,1236,2225,1587,2325,1208,857,3788,1391,1114,2339,1051,1571,1182,2753,1408,1669,2329,1558,2400,2506,1171,1642,1021,1496,1298,1118,1464,1081,1819,2033,1032,948,"
"
D38047_at,2111,2651,2908,2488,1629,2062,1801,2463,1744,1886,1803,1305,3403,797,1677,2465,1538,1437,1555,2956,4462,2429,4300,2105,2839,2220,1858,1734,1334,2413,3703,2002,1989,1476,2981,2877,1565,2159,"
"
D38048_at,1053,1105,1523,900,578,891,1351,1309,1103,755,537,810,3054,2056,889,1115,642,760,744,1595,1606,901,2141,1483,1952,1034,786,825,781,658,1285,639,673,856,906,1072,388,597,"
"
D38076_at,1279,1275,1735,1355,1136,1345,1148,1798,834,833,712,977,2179,639,653,1410,976,604,955,1498,2354,1324,2682,2055,1006,1331,937,206,541,1292,1785,815,941,506,931,1670,718,800,"
"
D38551_at,516,688,856,527,395,183,1334,665,518,1717,551,423,2162,559,406,927,269,375,267,958,1016,510,1488,873,1699,861,708,423,262,593,655,288,559,423,445,383,659,609,"
"
D42043_at,2170,1909,1718,1831,1056,1555,2608,1291,1969,1697,4297,2638,2984,4587,2785,2362,1411,2099,1242,2558,1286,686,1239,855,787,1075,891,933,692,1010,1150,1054,1242,646,980,1276,1464,1872,"
"
D49400_at,1174,954,1730,843,950,967,1000,1620,839,1722,934,675,2207,884,1383,1113,1186,672,685,1120,1767,1198,1480,1039,926,1220,623,1093,723,1943,2205,1515,1537,1079,2367,1271,1684,1791,"
"
D49489_at,1020,1205,2504,1113,721,622,1949,2385,1615,1567,1281,1129,3662,2959,959,2254,932,891,800,1007,742,396,1425,792,818,561,451,1217,663,1559,777,1008,742,813,2282,1392,329,550,"
"
D50063_at,1291,1014,1191,1112,748,651,1231,1386,929,1352,847,853,1791,1105,635,1095,522,746,1035,1213,1520,1091,1920,781,1544,1203,641,887,757,722,772,682,912,550,435,774,587,1241,"
"
D50310_at,4031,4058,3835,3147,3151,3052,5117,4212,2207,4477,2680,2338,7098,3705,5146,4282,2612,3218,2215,6862,5526,3819,8149,3074,6096,3989,3820,5950,4135,6850,7798,6544,6048,4099,7808,6926,5644,9116,"
"
D63478_at,760,954,942,451,1025,520,776,940,859,690,619,846,1243,768,1038,1160,608,488,1124,738,1479,643,1225,511,1418,1045,639,886,771,979,1036,1286,1147,568,1119,340,991,1180,"
"
D63481_at,931,401,665,505,921,205,985,677,331,198,439,554,777,633,628,1050,674,612,373,515,1040,535,845,206,430,682,803,486,543,1019,778,784,858,191,501,377,1036,429,"
"
D63485_at,941,727,546,1150,1359,599,785,395,847,584,736,630,841,650,717,715,608,811,951,794,1307,743,1077,775,746,1090,627,1034,1154,1217,919,1187,1059,358,654,711,936,1334,"
"
D63874_at,4157,8484,9575,6270,4566,4037,12920,11506,11090,13767,4845,8501,13825,16492,9603,12848,5612,10574,4577,11557,12121,5315,10058,7198,7021,6555,5519,5819,5407,4498,3762,6603,6977,4207,4640,3998,2792,2822,"
"
D63881_at,645,629,1156,352,143,172,1231,735,264,1085,522,417,1632,1479,757,896,346,549,250,1000,961,241,1135,357,1259,904,321,596,440,520,592,677,792,876,484,249,374,407,"
"
D64142_at,5152,5802,4690,5712,3230,6116,5451,7612,4009,5490,1689,3220,13306,4391,15270,6179,10031,7254,5453,16420,7838,7461,11437,15339,2499,1950,7481,10730,2204,18856,13477,19448,13764,6028,12382,7109,5819,11786,"
"
D78151_at,1554,1470,2038,1614,1589,1090,1856,1653,1899,1863,1308,1208,2227,1273,1468,1619,1222,1530,1454,1479,1826,1607,2408,1069,1258,1486,1602,1648,1163,2267,2198,2441,1723,1611,2279,2152,1964,1491,"
"
D78361_at,9881,14466,13686,12735,8117,9021,12192,15261,10836,16364,11520,9625,15836,6872,8746,12299,10797,11201,2248,17544,13081,10375,14536,9914,5481,8270,5898,12611,9125,22322,15058,10940,8869,9020,16493,15373,15078,8784,"
"
D79205_at,25071,21279,23776,15711,13117,19701,27485,17418,22419,25013,22809,22769,21297,33548,21024,25322,19919,28171,24992,23095,21518,11926,21765,21643,20847,21720,9529,25162,26278,22125,19279,16832,21653,12866,23125,15085,16976,21456,"
"
D79986_at,1232,1093,1710,947,1034,753,2163,1425,1462,1995,488,1586,4087,2817,2314,2044,850,641,952,2236,1911,867,2262,1318,3271,1345,1152,1701,1043,1611,1906,1747,2242,1249,1364,1569,1106,1850,"
"
D79991_at,977,786,738,858,884,441,847,679,569,616,465,586,1072,632,787,960,539,654,836,660,1360,730,1163,519,581,831,677,880,944,866,844,1076,666,322,658,860,659,1042,"
"
D84294_at,487,334,898,362,481,1225,2138,826,469,2114,624,616,2215,2274,449,795,1186,504,261,588,551,252,1041,254,880,570,419,480,524,244,293,156,283,271,183,469,775,223,"
"
D86967_at,4346,912,1019,873,2118,970,4856,927,3013,2590,1641,5277,5342,2076,1741,932,2274,3045,793,2554,1854,1184,3044,2119,2520,571,1351,1276,634,1024,723,868,450,383,981,1320,518,685,"
"
D87735_at,6251,9620,11512,6443,8964,9859,8126,10442,9352,7123,8475,8548,13639,13331,8316,9803,10694,6993,7740,9740,6719,6271,9978,7927,8509,8726,7349,10100,7641,8089,10439,11718,9390,12368,9200,12367,8614,11228,"
"
D87953_at,952,1358,1403,1308,1142,2663,1354,1080,1001,2107,570,960,1307,879,2519,1304,1582,1149,780,1490,1276,796,1280,1106,923,957,641,1643,1293,2887,1472,2197,1833,1101,2717,1412,920,3219,"
"
D89667_at,1271,2252,3015,1083,1628,1704,1834,2602,2337,1992,1553,1883,6771,3180,1754,901,2532,2510,979,3622,1738,1257,3122,1724,2294,1969,1483,2988,1962,2773,3564,2993,2325,4013,3751,2397,2151,2002,"
"
D90209_at,1095,1517,2939,1639,1590,1520,2058,1838,1739,2189,1872,2185,7693,3054,2905,2393,2153,3491,1239,5457,2735,2044,5408,3446,6133,1454,2222,3389,2101,4414,4596,2780,2629,2338,3502,2585,1749,3081,"
"
HG1112-HT1112_at,1495,2422,3339,1560,1196,1442,1789,3859,2020,1978,1936,1778,3860,637,920,2398,1367,1004,1741,1804,2926,1927,3429,1992,2636,2107,2279,1097,990,1749,1766,917,1754,1205,1623,1808,1223,1414,"
"
HG1153-HT1153_at,1016,3518,5323,1712,987,3138,3790,4679,3639,4349,2818,2296,12554,8189,1213,4387,2531,2226,2141,3283,2304,1932,4222,3254,2555,2767,2344,3467,2144,2345,2808,2369,3534,3145,4212,3788,2648,2284,"
"
HG1155-HT4822_at,2180,1837,1113,1802,2446,1036,1299,1134,1528,2001,1570,1242,2132,1070,1472,1395,1667,1596,2560,1563,2437,1445,1760,1256,1196,1361,1450,2182,1724,2192,1911,2700,1790,892,1678,1933,2079,2789,"
"
HG1800-HT1823_at,19655,18830,21111,19849,15205,19577,20687,17932,18315,17411,18601,18801,22556,29755,21572,20826,18762,18406,17998,20187,23336,19538,21535,16951,21121,20374,16908,22263,22943,19110,21920,21785,20244,18344,21220,17450,14390,22666,"
"
HG2167-HT2237_at,456,451,419,258,977,617,375,353,262,366,277,300,1322,569,1809,591,506,624,189,683,531,227,469,293,439,426,7,563,430,603,701,760,1241,370,1429,141,744,755,"
"
HG2873-HT3017_at,18100,23118,22720,18841,22522,22752,23136,21947,21321,21474,20779,22340,19523,31569,24401,23707,24661,20536,24651,23566,22374,18614,21833,20057,22784,22147,23389,23958,21087,20882,22597,21757,22070,26325,22311,24217,22882,24203,"
"
HG311-HT311_at,7559,8056,12110,5452,4497,8181,5237,10051,8534,5960,10393,6128,22535,12697,9303,8861,10992,7502,8449,12458,9547,5729,14630,7450,6251,9273,6924,8288,6667,6760,11468,8283,10619,10432,10270,7237,6684,7605,"
"
HG3214-HT3391_at,20707,20870,20273,25068,17431,22898,21275,18258,21387,15773,20255,21611,15728,26210,26684,24278,20604,20812,22893,20221,23822,25237,19273,22820,22982,21518,27509,21313,21462,22818,21275,23312,19214,18124,19622,22099,21517,20859,"
"
HG33-HT33_at,12801,13815,18906,16561,12447,20753,20684,15934,13565,16893,13183,13512,16780,19284,12957,15007,16464,14985,19141,15610,12638,8129,16863,14326,15790,15479,12900,18904,18411,14054,17144,14261,17244,17145,15314,16408,14175,17776,"
"
HG3364-HT3541_at,19899,22312,22697,19287,13007,23702,20523,20416,23724,16642,24001,25499,18320,30075,23277,23648,20839,23141,22646,22408,23045,19133,20941,21273,22473,22500,22194,23195,25319,21662,23192,23865,21143,23428,19081,21467,20243,20548,"
"
HG3514-HT3708_at,4281,4225,5452,2659,2635,3509,5468,4294,3221,10907,2338,3203,7811,2086,3771,3467,3644,4558,2345,7832,5472,2950,8513,4538,5841,5232,1900,5639,3354,7072,5294,2487,4044,4437,7578,7092,6402,5315,"
"
HG3521-HT3715_at,830,1039,1607,488,1439,480,827,1109,970,2393,482,686,2534,228,625,945,895,350,597,1302,2097,832,2342,1057,1175,1278,549,847,343,1430,1411,627,1360,1198,2152,684,1224,1767,"
"
HG3549-HT3751_at,24223,21932,23271,16141,17740,26881,27162,20978,22745,21754,21609,22204,22266,6578,25040,21634,21849,24753,23298,21103,22417,18656,22440,24074,23784,21210,20960,21521,19688,20754,21686,20689,20800,20491,22048,21571,18661,21907,"
"
HG384-HT384_at,9070,10631,10013,7952,3053,8074,9504,5935,10337,6057,10145,10017,12853,15248,9140,11627,7298,9226,8948,10080,8599,7576,10071,7919,10757,10811,8769,11394,9550,7429,10721,11411,10044,6016,10339,8468,10520,10221,"
"
HG4036-HT4306_at,2246,1715,856,2095,758,781,967,1061,974,958,1694,475,2425,888,1323,1215,685,1545,3194,1844,2966,2165,1134,1204,989,2186,1343,3253,1348,1262,1203,1865,929,233,903,1211,2072,1875,"
"
HG4297-HT4567_at,928,822,1681,448,461,600,890,1717,735,1733,2624,661,3277,2361,517,1381,600,574,445,3045,1828,1015,1550,1002,1646,1406,756,606,257,1157,1194,892,799,1654,1491,1037,665,637,"
"
HG4319-HT4589_at,13924,21231,22273,13050,18933,19432,15106,21306,15205,26570,19348,18620,23956,26106,19138,22320,17887,15370,24526,25285,15789,14846,21785,13136,21918,22760,19855,22417,14489,15310,20102,25051,19943,21150,25001,21724,20283,16627,"
"
HG4542-HT4947_at,11003,10988,14453,10234,9337,11096,7957,12432,10575,10249,11377,8965,16104,7424,11980,13399,11474,9820,8184,12850,12397,7754,14760,9217,12540,12275,7897,12544,7538,11381,12783,12830,12808,9037,13521,10484,11929,10749,"
"
HG613-HT613_at,11216,14866,17193,10481,13637,16310,17841,15507,16154,14255,14317,16000,17972,20045,14273,16466,16186,16366,17150,15296,12907,9618,14616,14916,15307,14996,14192,16373,14768,13550,14873,14303,14348,15614,12772,11020,14370,13447,"
"
HG662-HT662_at,4767,6422,8842,3951,3804,4338,6551,6190,6270,7585,4521,5905,15769,13058,5693,6208,6211,5845,6443,5058,6011,3739,9008,6774,6400,5968,4545,9475,4371,5743,6889,6270,8654,7816,9678,5187,6261,9217,"
"
HG821-HT821_at,14255,15804,17521,18556,9858,16363,12715,13717,14964,14803,14981,14266,16047,20306,17693,16138,15088,11924,17554,15210,16768,16597,16051,14834,17017,15810,17643,16030,12181,16290,15083,15671,14887,17068,15790,15867,12535,16041,"
"
J02923_at,1673,2310,2934,1618,355,2075,1652,2653,1589,1664,2448,956,1269,109,338,2647,1042,449,544,2550,3321,1479,2926,1469,991,3515,467,1419,791,5618,1906,542,2181,1080,5873,3523,3733,2294,"
"
J03191_at,5807,7133,6423,5912,3774,6352,10209,7857,8134,13954,9904,5092,11905,1621,1881,8613,4907,7767,4394,12826,11758,10009,13403,9927,7458,13606,8136,8412,5044,11948,7111,3554,7470,4847,10543,9599,9111,3968,"
"
J03459_at,849,1192,1497,720,959,835,922,1216,1323,2020,1435,1234,3235,1255,585,821,940,800,1223,1096,1195,1194,2073,951,1078,1434,876,1255,759,2020,1072,989,1381,726,1307,1540,1136,1634,"
"
J03473_at,2018,2291,2796,1829,2497,472,1591,2352,2576,1874,2150,1339,4441,1040,1191,2741,569,2088,1702,650,573,405,1204,325,264,999,583,803,430,604,404,354,841,500,426,871,671,109,"
"
J03592_at,9621,13522,14321,10810,6754,15182,8798,13845,10015,10355,10263,9435,18920,8384,10390,12286,9011,11110,8779,5137,9515,9271,17241,8491,11556,10988,8683,12019,8663,9178,12010,6020,10530,9587,13349,11565,9317,8139,"
"
J03827_at,6895,8140,7649,6334,3969,10994,5434,6947,5749,5898,2881,3888,10740,9068,5831,7294,5467,3196,5303,10249,9795,8850,11440,7304,10013,7739,6930,5702,5701,6648,12441,8773,6332,6787,8864,9666,7630,6839,"
"
J04173_at,2398,1501,3678,1043,751,1284,3369,2766,1922,2724,5148,1604,4027,2013,1485,2404,847,1651,861,4000,4428,1922,6082,3449,2926,2632,1033,2377,1966,6042,3192,500,1019,1266,7107,3018,1372,2386,"
"
J04973_at,696,893,1201,215,391,344,764,1227,692,451,490,425,1824,1286,401,1180,701,499,284,795,939,215,1021,300,1015,866,486,539,401,443,599,276,428,754,1015,410,383,212,"
"
J04988_at,4483,8127,10367,5855,4825,3699,10806,8677,5578,11676,6625,5009,12926,5811,4406,7804,8427,6653,6281,8334,7442,5005,10492,10436,8528,7995,5430,10381,6814,6826,5957,3949,11110,5904,11153,9225,7520,7736,"
"
J05249_at,2004,1328,1578,1344,1536,1110,1938,1555,1576,2010,1583,1294,2807,1021,1108,2374,1577,1396,1583,1170,2572,978,2337,1682,1408,1745,694,1599,1406,2018,1700,1715,1999,843,1618,932,841,2525,"
"
L03532_at,1684,1195,2127,1409,1007,993,2047,1965,1685,1649,489,1160,2988,3574,1380,2322,1041,1500,1030,2197,2682,1481,2905,1643,2993,1585,1958,1222,800,1926,1259,1604,1537,847,1499,1556,1508,1180,"
"
L06499_at,20764,21733,20332,33795,24652,30549,23104,18949,23168,19472,24314,24383,9991,24322,28105,21817,24536,20360,31255,17636,23316,32791,18202,26787,22295,18283,34392,21037,37882,26232,20903,24376,18634,28164,17342,28208,21614,22023,"
"
L06505_at,9324,10999,13543,12210,5879,11214,10858,11638,10670,8661,13790,11870,11466,18006,7802,11733,11812,11114,8192,11126,7627,9241,12625,12487,9711,12182,8614,13327,11993,10270,13768,14504,12917,15621,11560,12264,11194,12660,"
"
L07633_at,3586,3301,4524,2629,2287,2022,5470,7313,3747,5100,1752,4004,8239,1544,1743,4011,4293,4516,2326,4802,5152,3378,4422,4222,3408,3623,2689,1752,1928,2752,2436,1302,2857,2696,3531,2626,3186,2785,"
"
L08069_at,1361,1392,2016,527,511,544,1347,1794,756,931,307,654,3038,438,410,1408,1972,347,-237,2148,907,357,655,390,338,580,296,497,247,723,1037,394,650,238,2234,370,478,654,"
"
